Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Doi,Repo
"Nazif, Sara; Khatibi, Yaser; Pourmohamadi, Anahita; Khajavian, Ali; ","Evaluating different calibration scenarios in redevelopment of BSM1 model for simulation wastewater treatment system of Carousel oxidation, case study: South Tehran wastewater treatment plant",Journal of Water and Wastewater Science and Engineering,,,,2023,,https://doi.org/10.22112/jwwse.2023.379624.1343,
"Khajavian, Ali; Pourmohamadi, Anahita; Khatibi, Yaser; Nazif, Sara; ",Static calibration of wastewater treatment plant models: Investigating calibration processes and objective functions,Journal of Water Process Engineering,54,,104016,2023,Elsevier,https://doi.org/10.1016/j.jwpe.2023.104016,
